investment_id,round_id,fund_slug,fund_name,fund_name_in_source,project_slug,project_name,project_name_in_source,previous_project_name,announcement_date,round_date,round_type,investment_type,fund_role,is_lead,round_size_usd,valuation_usd,valuation_type,fund_ticket_usd,currency_original,amount_original,country,sector,chain_or_ecosystem,token_ticker,token_exists,acquisition_or_exit,acquirer,exit_price_usd,primary_source_url,secondary_source_url,aggregator_source_url,source_consulted_date,verification_status,confidence,conflict_flag,co_investors,notes
49ef733d9c7488a9,c692b76187201175,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,basis-cash,Basis Cash,Basis Cash,,2018-04-18,2018-04-18,,unknown,participant,FALSE,133000000,,,,USD,133000000,,,,BAC,TRUE,,,,https://news.crunchbase.com/news/basis-raises-133m-create-price-stable-cryptocurrency/,,https://crypto-fundraising.info/projects/basis-cash/,2026-08-15,verified_primary,high,FALSE,Andreessen Horowitz (a16z crypto); Digital Currency Group (DCG); Lightspeed Venture Partners; Sky9 Capital; Valor Capital Group,Bron vermeldde geen rondetype.
8b397c1562d67b53,86c86027c28d3336,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,compound,Compound,Compound,,2018-05-16,2018-05-16,Seed,equity,co-lead,TRUE,8200000,,,,USD,8200000,,,,COMP,TRUE,,,,https://bitrazzi.com/interest-on-your-crypto-compound-raises-8-2-million-for-money-markets/,,https://crypto-fundraising.info/projects/compound/,2026-08-15,verified_primary,high,FALSE,Andreessen Horowitz (a16z crypto); Polychain Capital; Coinbase Ventures; DHVC (Danhua Capital); Compound; Chapter One; South Park Commons; Abstract Ventures; COIND; Transmedia Capital; Crowd Venture Capital; Buck Stash; Tor Kenz Capital; Cashican People LLC; Edelweiss.vc,
710ae46ce56883c6,1631c7226fa89f3f,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,zero-hash,Zero Hash,Zero Hash,,2018-09-12,2018-09-12,Series B,equity,lead,TRUE,15000000,,,,USD,15000000,,,,,FALSE,,,,https://www.finsmes.com/2018/09/seed-cx-raises-15m-in-series-b-funding.html?utm_source=feedburner&utm_medium=twitter&utm_campaign=Feed:+finsmes/cNHu+(FinSMEs),,https://crypto-fundraising.info/projects/zero-hash/,2026-08-15,verified_primary,high,FALSE,CMT Digital; Struck Capital,
2520568993755143,c8f6fa4dbdc4a45f,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,lumina-2,Lumina,Lumina,,2018-10-02,2018-10-02,Seed,equity,participant,FALSE,4000000,,,,USD,4000000,,,,,FALSE,,,,https://www.finsmes.com/2018/10/lumina-raises-4m-in-seed-funding.html?utm_source=feedburner&utm_medium=twitter&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29,,https://crypto-fundraising.info/projects/lumina-2/,2026-08-15,verified_primary,high,FALSE,Craft Ventures; Dragonfly Capital,
d626c2b34dae0678,af4234db8cacc464,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,dydx,Arcus (dYdX),Arcus (dYdX),,2018-10-19,2018-10-19,Series A,equity,participant,FALSE,10000000,,,,USD,10000000,,,,,FALSE,,,,https://medium.com/dydxderivatives/dydx-raises-10m-series-a-1250b7e0e1df,,https://crypto-fundraising.info/projects/dydx/,2026-08-15,verified_primary,high,FALSE,Andreessen Horowitz (a16z crypto); Polychain Capital; Dragonfly Capital; 1confirmation; Elad Gil; Naval Ravikant; VY Capital; Abstract Ventures; Kindred Ventures; Craft Ventures; Kevin Hartz; Fred Ehrsam,
b8a810c2dde38a0b,d8a618cc15a6e189,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,cosmos,Cosmos,Cosmos,,2019-03-15,2019-03-15,Series A,equity,participant,FALSE,9000000,,,,USD,9000000,,,,ATOM,TRUE,,,,https://www.coindesk.com/markets/2019/03/15/paradigm-leads-9-million-round-for-cosmos-creator-tendermint/,,https://crypto-fundraising.info/projects/cosmos/,2026-08-15,verified_primary,high,FALSE,Paradigm; 1confirmation,
a1f8b5f646aea887,8f148a033612fece,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,coindcx,CoinDCX,CoinDCX,,2019-03-20,2019-03-20,,unknown,lead,TRUE,,,,,,,,,,,FALSE,,,,https://www.dealstreetasia.com/stories/bain-capital-crypto-coindcx-126633?utm_content=buffercd2f7&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,,https://crypto-fundraising.info/projects/coindcx/,2026-08-15,verified_primary,high,FALSE,,Bron vermeldde geen rondetype.
99e395892e84d86d,d473504e8bc1be51,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,crusoe-energy-systems,Crusoe Energy Systems,Crusoe Energy Systems,,2019-05-03,2019-05-03,Seed,equity,lead,TRUE,4500000,,,,USD,4500000,,,,,FALSE,,,,https://www.businesswire.com/news/home/20190503005361/en/Crusoe-Energy-Systems-Closes-4.5-Million-Seed-Funding-Round-Co-Led-by-Bain-Capital-Ventures-and-Founders-Fund-Pathfinder,,https://crypto-fundraising.info/projects/crusoe-energy-systems/,2026-08-15,verified_primary,high,FALSE,Dragonfly Capital; Winklevoss Capital; Wicklow Capital; Founders fund; Pathfinder,
35329a96bf2f5d29,b65dabe1cdd41757,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,skynet-labs,Skynet Labs,Skynet Labs,,2019-07-10,2019-07-10,Seed,equity,lead,TRUE,3250000,,,,USD,3250000,,,,,FALSE,,,,https://www.finsmes.com/2019/07/nebulous-raises-3-25m-in-seed-funding.html?utm_source=feedburner&utm_medium=twitter&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29,,https://crypto-fundraising.info/projects/skynet-labs/,2026-08-15,verified_primary,high,FALSE,Dragonfly Capital; Hack VC; INBlockchain; SV Angel; A Capital; Collaborative Fund; Bessemer Venture Partners,
c2a1f3456ea4a670,5128189a2e3fc819,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,coindcx,CoinDCX,CoinDCX,,2020-03-24,2020-03-24,,unknown,participant,FALSE,3000000,,,,USD,3000000,,,,,FALSE,,,,https://www.dealstreetasia.com/stories/coindcx-bain-capital-181212,,https://crypto-fundraising.info/projects/coindcx/,2026-08-15,verified_primary,high,FALSE,Polychain Capital; BitMEX,Bron vermeldde geen rondetype.
8fb1d3b6bb5aa489,0c3d6a1005d63315,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,zero-hash,Zero Hash,Zero Hash,,2020-09-02,2020-09-02,Series C,equity,participant,FALSE,5000000,,,,USD,5000000,,,,,FALSE,,,,https://www.globenewswire.com/news-release/2020/09/02/2087765/0/en/Zero-Hash-Raises-Series-C-Funding-Round.html,,https://crypto-fundraising.info/projects/zero-hash/,2026-08-15,verified_primary,high,FALSE,CMT Digital; Monday Capital; tastytrade,
7684c479a09e38d5,def79ec177dbd12d,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,skynet-labs,Skynet Labs,Skynet Labs,,2020-09-22,2020-09-22,Seed,equity,participant,FALSE,3000000,,,,USD,3000000,,,,,FALSE,,,,https://www.coindesk.com/nebulous-siacoin-skynet-labs-rebrand-paradigm-funding-round,,https://crypto-fundraising.info/projects/skynet-labs/,2026-08-15,verified_primary,high,FALSE,Paradigm; Hack VC; A Capital; INBlockchain; Collaborative Fund; Bessemer Venture Partners; First Star Ventures,
29e69ce3ffbd1641,c23637511237bb22,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,siacoin,Siacoin,Siacoin,,2020-09-23,2020-09-23,Seed,equity,participant,FALSE,3000000,,,,USD,3000000,,,,SC,TRUE,,,,https://www.coindesk.com/business/2020/09/22/startup-behind-siacoin-storage-platform-raises-3m-rebrands-as-skynet-labs/,,https://crypto-fundraising.info/projects/siacoin/,2026-08-15,verified_primary,high,FALSE,Paradigm; Dragonfly Capital; Hack VC; A Capital; INBlockchain; Collaborative Fund; Bessemer Venture Partners; First Star Ventures,
f57eff7b188e84d3,0f89268e91f7517c,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,crusoe-energy-systems,Crusoe Energy Systems,Crusoe Energy Systems,,2021-04-26,2021-04-26,Series B,equity,participant,FALSE,128000000,,,,USD,128000000,,,,,FALSE,,,,https://www.businesswire.com/news/home/20210426005202/en/Crusoe-Achieves-Operational-Milestones-and-Closes-128-Million-Series-B-Financing-to-Expand-Patented-Digital-Flare-Mitigation%C2%AE-Technology,,https://crypto-fundraising.info/projects/crusoe-energy-systems/,2026-08-15,verified_primary,high,FALSE,Valor Equity Partners; Polychain Capital; Coinbase Ventures; Winklevoss Capital; Founders fund; Lowercarbon Capital; DRW Venture Capital; Upper90; Exor Seeds; Zigg Capital,
58726fd387ceb30d,ed105e119e262409,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,risk-harbor,Risk Harbor,Risk Harbor,,2021-06-24,2021-06-24,Seed,equity,participant,FALSE,3250000,,,,USD,3250000,,,,,FALSE,,,,https://www.coindesk.com/defi-insurance-upstart-risk-harbor-goes-live-with-3-25m-in-seed-funding,,https://crypto-fundraising.info/projects/risk-harbor/,2026-08-15,verified_primary,high,FALSE,Pantera Capital; Framework Ventures; Coinbase Ventures; Digital Currency Group (DCG); Nima Capital; Do Kwon; Anthony Pompliano; Nikil Viswanathan; Joe Lau; Tyler Ward; Ashleigh Schap; Noah Jessop,
c34623f0a0ebc6c6,ec17811a2b5866fa,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,zero-hash,Zero Hash,Zero Hash,,2022-01-12,2022-01-12,Series D,equity,participant,FALSE,105000000,,,,USD,105000000,,,,,FALSE,,,,https://www.globenewswire.com/news-release/2022/01/12/2365605/0/en/Zero-Hash-Raises-105-Million-Series-D-Funding.html,,https://crypto-fundraising.info/projects/zero-hash/,2026-08-15,verified_primary,high,FALSE,Point72 Ventures; Nyca Partners,
15527d2cd607e7dd,6cdefe3ef39a8aed,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,rigor,Rigor,Rigor,,2022-06-16,2022-06-16,Seed,equity,participant,FALSE,3500000,,,,USD,3500000,,,,,FALSE,,,,https://www.prnewswire.com/news-releases/defi-for-construction-finance-startup-rigor-raises-3-5m-to-end-housings-affordability-crisis-301568962.html,,https://crypto-fundraising.info/projects/rigor/,2026-08-15,verified_primary,high,FALSE,Digital Currency Group (DCG); Third Prime; Koji Capital; Flow Ventures; Agya Ventures,
e9a4fdc6ac535290,dd723b4304c401e6,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,jadu,Jadu,Jadu,,2022-07-19,2022-07-19,Series A,equity,lead,TRUE,36000000,,,,USD,36000000,,,,,FALSE,,,,https://mpost.io/jadu-raised-36m-to-build-a-web3-ar-gaming-platform/,,https://crypto-fundraising.info/projects/jadu/,2026-08-15,verified_primary,high,FALSE,LG Technology Ventures; Cozomo de’ Medici; Permit Ventures; The Venture Reality Fund,
0ee807e86526a0e5,2e2e98eef48d3d5f,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,risc-zero,Boundless (RISC Zero),Boundless (RISC Zero),,2022-08-09,2022-08-09,Seed,equity,lead,TRUE,12000000,,,,USD,12000000,,,,ZKC,TRUE,,,,https://www.theblock.co/post/162358/risc-zero-raises-12-million-to-build-a-blockchain-using-zero-knowledge-proofs,,https://crypto-fundraising.info/projects/risc-zero/,2026-08-15,verified_primary,high,FALSE,D1 Ventures; Geometry; Kain Warwick,
011214fa361950bc,e39a6622546784e2,bain-capital-crypto,Bain Capital Crypto,Bain Capital Crypto,%d1%81elestia,Celestia,Celestia,,2022-10-20,2022-10-20,Series A,equity,co-lead,TRUE,55000000,1000000000,unknown,,USD,55000000,,,,TIA,TRUE,,,,https://www.coindesk.com/business/2022/10/19/crypto-unicorn-celestia-labs-raises-55m-to-build-modular-blockchain-network/,,https://crypto-fundraising.info/projects/%d1%81elestia/,2026-08-15,verified_primary,high,FALSE,Polychain Capital; Coinbase Ventures; Jump Crypto; FTX Ventures; Placeholder; Galaxy Digital; Delphi Digital; The Spartan Group; Blockchain Capital; Figment Capital; Protocol Labs; NFX; Maven 11 Capital; MH Ventures,
